"filename", "language", "TypeScript React", "SCSS", "PostCSS", "JavaScript", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\g.maillot\source\Spotify_clone\src\App.tsx", "TypeScript React", 17, 0, 0, 0, 0, 0, 0, 4, 9, 30
"c:\Users\g.maillot\source\Spotify_clone\src\Router.tsx", "TypeScript React", 66, 0, 0, 0, 0, 0, 0, 6, 8, 80
"c:\Users\g.maillot\source\Spotify_clone\src\assets\font\circular-bold\CircularStd-Bold.svg", "XML", 0, 0, 0, 0, 0, 13533, 0, 0, 1, 13534
"c:\Users\g.maillot\source\Spotify_clone\src\assets\font\ciruclar-black\CircularStd-Black.svg", "XML", 0, 0, 0, 0, 0, 13543, 0, 0, 1, 13544
"c:\Users\g.maillot\source\Spotify_clone\src\assets\font\ciruclar-book\CircularStd-Book.svg", "XML", 0, 0, 0, 0, 0, 9947, 0, 0, 1, 9948
"c:\Users\g.maillot\source\Spotify_clone\src\assets\img\back.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\g.maillot\source\Spotify_clone\src\assets\img\menu-nav.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\g.maillot\source\Spotify_clone\src\assets\img\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\g.maillot\source\Spotify_clone\src\component\AlbumFirstSuggestion\AlbumFirstSuggestion.stories.tsx", "TypeScript React", 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\g.maillot\source\Spotify_clone\src\component\AlbumFirstSuggestion\AlbumFirstSuggestion.tsx", "TypeScript React", 24, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\Users\g.maillot\source\Spotify_clone\src\component\AlbumList\AlbumList.stories.tsx", "TypeScript React", 58, 0, 0, 0, 0, 0, 0, 0, 8, 66
"c:\Users\g.maillot\source\Spotify_clone\src\component\AlbumList\AlbumList.tsx", "TypeScript React", 54, 0, 0, 0, 0, 0, 0, 6, 12, 72
