Date : 2022-09-28 21:17:50
Directory : c:\Users\g.maillot\source\Spotify_clone\src
Total : 147 files,  43966 codes, 419 comments, 1086 blanks, all 45471 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| XML              |          5 |     37,025 |          0 |          3 |     37,028 |
| TypeScript React |        105 |      5,927 |        349 |        870 |      7,146 |
| TypeScript       |         23 |        690 |         55 |        150 |        895 |
| SCSS             |          9 |        287 |          6 |         53 |        346 |
| PostCSS          |          3 |         36 |          0 |          7 |         43 |
| JSON             |          1 |          1 |          0 |          0 |          1 |
| JavaScript       |          1 |          0 |          9 |          3 |         12 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        147 |     43,966 |        419 |      1,086 |     45,471 |
| assets                                                                                                      |          6 |     37,026 |          0 |          3 |     37,029 |
| assets\font                                                                                                 |          3 |     37,023 |          0 |          3 |     37,026 |
| assets\font\circular-bold                                                                                   |          1 |     13,533 |          0 |          1 |     13,534 |
| assets\font\ciruclar-black                                                                                  |          1 |     13,543 |          0 |          1 |     13,544 |
| assets\font\ciruclar-book                                                                                   |          1 |      9,947 |          0 |          1 |      9,948 |
| assets\img                                                                                                  |          3 |          3 |          0 |          0 |          3 |
| component                                                                                                   |         85 |      4,029 |        274 |        654 |      4,957 |
| component\AlbumFirstSuggestion                                                                              |          2 |         64 |          1 |         10 |         75 |
| component\AlbumList                                                                                         |          2 |        112 |          6 |         20 |        138 |
| component\Button                                                                                            |          4 |         52 |          4 |         17 |         73 |
| component\Button\ButtonPlay                                                                                 |          4 |         52 |          4 |         17 |         73 |
| component\Cards                                                                                             |         10 |        328 |        139 |         65 |        532 |
| component\Carroussel                                                                                        |          2 |         91 |          3 |         14 |        108 |
| component\Dialogs                                                                                           |          2 |         75 |          3 |         16 |         94 |
| component\Discography                                                                                       |          4 |        279 |          7 |         35 |        321 |
| component\Grid                                                                                              |          2 |         67 |          0 |         14 |         81 |
| component\HeaderBandPlay                                                                                    |          3 |        145 |         12 |         26 |        183 |
| component\HeaderNav                                                                                         |          8 |        556 |         16 |         69 |        641 |
| component\Layout                                                                                            |          2 |         93 |          3 |         27 |        123 |
| component\LeftMenu                                                                                          |         10 |        347 |         16 |         76 |        439 |
| component\LeftMenu\MenuLink                                                                                 |          8 |        266 |         10 |         61 |        337 |
| component\PlayBar                                                                                           |          2 |         15 |          2 |          7 |         24 |
| component\SearchInput                                                                                       |          1 |         31 |          3 |          7 |         41 |
| component\Skeleton                                                                                          |          2 |         66 |          0 |          8 |         74 |
| component\Spinner                                                                                           |          2 |         61 |          0 |         12 |         73 |
| component\TabView                                                                                           |          7 |        372 |         12 |         51 |        435 |
| component\Tables                                                                                            |         10 |      1,044 |         30 |        131 |      1,205 |
| component\Typo                                                                                              |          6 |        147 |         16 |         26 |        189 |
| component\Typo\H1                                                                                           |          2 |         24 |          2 |          9 |         35 |
| component\Typo\H2                                                                                           |          2 |         56 |          7 |          8 |         71 |
| component\Typo\Paragraph                                                                                    |          2 |         67 |          7 |          9 |         83 |
| component\UtilsComponents                                                                                   |          4 |         84 |          1 |         23 |        108 |
| pages                                                                                                       |         18 |      1,912 |         63 |        211 |      2,186 |
| pages\Collection                                                                                            |          7 |        407 |         21 |         63 |        491 |
| service                                                                                                     |         19 |        668 |         54 |        134 |        856 |
| service\hook                                                                                                |          2 |         39 |          0 |         11 |         50 |
| service\interface                                                                                           |          1 |          7 |          0 |          0 |          7 |
| service\spotify                                                                                             |         12 |        554 |         54 |        114 |        722 |
